path,type,suggested_action,current_location,suggested_location
handwriting_model/deep_scribe/train.py,py,keep-commit,handwriting_model/deep_scribe,handwriting_model/deep_scribe
handwriting_model/deep_scribe_original,directory,keep-commit,handwriting_model,handwriting_model
handwriting_model/direct_stroke_extract.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/extract_remarkable_strokes.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/fetch_render_notebook.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/generate_synthetic_dataset.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/generate_test_strokes.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505.content,other,keep-commit,handwriting_model/latest_extract,handwriting_model/latest_extract
handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505.metadata,other,keep-commit,handwriting_model/latest_extract,handwriting_model/latest_extract
handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505/11951033-6b77-4ad3-ba97-d3d4692e811d.rm,other,keep-commit,handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505,handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505
handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505/11951033-6b77-4ad3-ba97-d3d4692e811d.svg,other,keep-commit,handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505,handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505
handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505/5df9cbca-50bd-441f-81c9-3656b11aaddc.rm,other,keep-commit,handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505,handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505
handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505/8ab6a597-fe90-4acb-adbb-3e6eaf270c76.rm,other,keep-commit,handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505,handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505
handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505/e13152d3-535e-4937-b6b1-4a8580d879f2.rm,other,keep-commit,handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505,handwriting_model/latest_extract/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505
handwriting_model/manual_dataset_builder.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/maxio,directory,keep-commit,handwriting_model,handwriting_model
handwriting_model/mock_train.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/model.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/new_notebook/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505.content,other,keep-commit,handwriting_model/new_notebook,handwriting_model/new_notebook
handwriting_model/new_notebook/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505.metadata,other,keep-commit,handwriting_model/new_notebook,handwriting_model/new_notebook
handwriting_model/new_notebook/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505/5df9cbca-50bd-441f-81c9-3656b11aaddc.rm,other,keep-commit,handwriting_model/new_notebook/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505,handwriting_model/new_notebook/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505
handwriting_model/new_notebook/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505/8ab6a597-fe90-4acb-adbb-3e6eaf270c76.rm,other,keep-commit,handwriting_model/new_notebook/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505,handwriting_model/new_notebook/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505
handwriting_model/new_notebook/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505/e13152d3-535e-4937-b6b1-4a8580d879f2.rm,other,keep-commit,handwriting_model/new_notebook/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505,handwriting_model/new_notebook/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505
handwriting_model/new_response/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505.content,other,keep-commit,handwriting_model/new_response,handwriting_model/new_response
handwriting_model/new_response/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505.metadata,other,keep-commit,handwriting_model/new_response,handwriting_model/new_response
handwriting_model/new_response/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505/0790ab2d-4c87-41d3-9d3a-6ed32347c597.rm,other,keep-commit,handwriting_model/new_response/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505,handwriting_model/new_response/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505
handwriting_model/new_response/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505/5df9cbca-50bd-441f-81c9-3656b11aaddc.rm,other,keep-commit,handwriting_model/new_response/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505,handwriting_model/new_response/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505
handwriting_model/new_response/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505/8ab6a597-fe90-4acb-adbb-3e6eaf270c76.rm,other,keep-commit,handwriting_model/new_response/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505,handwriting_model/new_response/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505
handwriting_model/new_response/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505/e13152d3-535e-4937-b6b1-4a8580d879f2.rm,other,keep-commit,handwriting_model/new_response/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505,handwriting_model/new_response/c5c476b1-7e39-4bd3-bdc8-6b2f121c8505
handwriting_model/preprocessing.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/process_training_notebook.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/rdik_recognizer.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/read_v5_lines.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/remarkable_integration.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/render_notebook_better.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/render_rm_file.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/render_rm_file_updated.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/render_rm_notebook.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/response.md,md,keep-commit,handwriting_model,handwriting_model
handwriting_model/response_ink.md,md,keep-commit,handwriting_model,handwriting_model
handwriting_model/response_ink.pdf,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/response_ink.svg,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/simple_render.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/simplified_download.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/stroke_recognition.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/svg_trimmed/trimmed.png,other,keep-commit,handwriting_model/svg_trimmed,handwriting_model/svg_trimmed
handwriting_model/svg_trimmed/trimmed.svg,other,keep-commit,handwriting_model/svg_trimmed,handwriting_model/svg_trimmed
handwriting_model/test_sample2.json,json,ignore,handwriting_model,handwriting_model
handwriting_model/test_sample2.png,other,ignore,handwriting_model,handwriting_model
handwriting_model/test_strokes.json,json,ignore,handwriting_model,handwriting_model
handwriting_model/test_strokes.png,other,ignore,handwriting_model,handwriting_model
lilly/.env.example,other,keep-commit,lilly,lilly
lilly/README.md,md,move,lilly,docs
lilly/README_MONITOR.md,md,move,lilly,docs
lilly/adapters/google_drive_adapter.py,py,keep-commit,lilly/adapters,lilly/adapters
lilly/adapters/proton_calendar_adapter.py,py,keep-commit,lilly/adapters,lilly/adapters
lilly/adapters/proton_mail_adapter.py,py,keep-commit,lilly/adapters,lilly/adapters
lilly/auth/README.md,md,move,lilly/auth,docs
lilly/auth/__init__.py,py,keep-commit,lilly/auth,lilly/auth
lilly/auth/authentication.py,py,keep-commit,lilly/auth,lilly/auth
lilly/auth/cli.py,py,keep-commit,lilly/auth,lilly/auth
lilly/auth/config.py,py,keep-commit,lilly/auth,lilly/auth
lilly/auth/credential_manager.py,py,keep-commit,lilly/auth,lilly/auth
lilly/config/lilly_config.json,json,keep-commit,lilly/config,lilly/config
lilly/config/lilly_persona.md,md,keep-commit,lilly/config,lilly/config
lilly/config/lilly_prompt_template.md,md,keep-commit,lilly/config,lilly/config
lilly/config/mcp_tools.json,json,keep-commit,lilly/config,lilly/config
lilly/docs/AUTHENTICATION.md,md,keep-commit,lilly/docs,lilly/docs
lilly/docs/AUTHENTICATION_SUMMARY.md,md,move,lilly/docs,docs
lilly/docs/INTEGRATION_PLAN.md,md,keep-commit,lilly/docs,lilly/docs
lilly/examples/adapter_auth_integration.py,py,keep-commit,lilly/examples,lilly/examples
lilly/examples/auth_example.py,py,keep-commit,lilly/examples,lilly/examples
lilly/lilly_auth.py,py,keep-commit,lilly,lilly
lilly/memories/tool_usage.md,md,keep-commit,lilly/memories,lilly/memories
lilly/memories/workflow_examples.md,md,keep-commit,lilly/memories,lilly/memories
lilly/setup.sh,sh,move,lilly,scripts
lilly/start_lilly.sh,sh,move,lilly,scripts
lilly/start_monitor.sh,sh,move,lilly,scripts
lilly/tools/initialize_knowledge_graph.py,py,keep-commit,lilly/tools,lilly/tools
lilly/tools/process_handwriting.py,py,keep-commit,lilly/tools,lilly/tools
lilly/tools/sync_remarkable.py,py,keep-commit,lilly/tools,lilly/tools
limitless_integration_completion.md,md,keep-commit,.,.
limitless_integration_summary.md,md,keep-commit,.,.
live_limitless_test.py,py,keep-commit,.,.
mock_remarkable.py,py,keep-commit,.,.
ponderings.md,md,keep-commit,.,.
quick_test_claude_penpal.py,py,keep-commit,.,.
response_ink.rmdoc,rmdoc,move,.,notebooks
run_claudefix_test.sh,sh,move,.,scripts
run_demo.sh,sh,move,.,scripts
run_limitless_tests.sh,sh,move,.,scripts
run_live_penpal_test.py,py,move,.,scripts
run_live_test.py,py,move,.,scripts
run_live_test.sh,sh,move,.,scripts
run_mock_penpal.py,py,move,.,scripts
run_verification.sh,sh,move,.,scripts
run_with_env.sh,sh,move,.,scripts
scripts/cleanup_temp_files.sh,sh,move,scripts,scripts
scripts/test_limitless_api.sh,sh,move,scripts,scripts
serve_iink_test.js,js,ignore,.,.
src/inklink/adapters/cassidy_adapter.py,py,keep-commit,src/inklink/adapters,src/inklink/adapters
src/inklink/adapters/claude_cli_adapter.py,py,keep-commit,src/inklink/adapters,src/inklink/adapters
src/inklink/adapters/handwriting_web_adapter.py,py,keep-commit,src/inklink/adapters,src/inklink/adapters
src/inklink/services/cassidy_monitor_service.py,py,keep-commit,src/inklink/services,src/inklink/services
src/inklink/services/handwriting_recognition_cache.py,py,keep-commit,src/inklink/services,src/inklink/services
src/inklink/services/lilly_monitor_service.py,py,keep-commit,src/inklink/services,src/inklink/services
tag_notebook.py,py,keep-commit,.,.
tag_notebook_fixed.py,py,keep-commit,.,.
test_adapter.py,py,move,.,tests
test_adapter_extraction.py,py,move,.,tests
test_claude_penpal.py,py,move,.,tests
test_claude_penpal_fix.py,py,move,.,tests
test_claude_penpal_real.py,py,move,.,tests
test_claude_real/Claude_Real_Test.rmdoc,rmdoc,move,test_claude_real,notebooks
test_claude_real/a253c875-34b5-472f-b8a6-f1c573fda091.content,other,keep-commit,test_claude_real,test_claude_real
test_claude_real/a253c875-34b5-472f-b8a6-f1c573fda091.metadata,other,keep-commit,test_claude_real,test_claude_real
test_claude_real/a253c875-34b5-472f-b8a6-f1c573fda091/a2950a22-17c2-42f6-92b2-250368971411.rm,other,keep-commit,test_claude_real/a253c875-34b5-472f-b8a6-f1c573fda091,test_claude_real/a253c875-34b5-472f-b8a6-f1c573fda091
test_claude_vision_live.py,py,move,.,tests
test_complete_penpal.py,py,move,.,tests
test_env.py,py,move,.,tests
test_fixed_penpal.py,py,move,.,tests
test_full_penpal_processing.py,py,move,.,tests
test_handwriting_web_adapter.py,py,move,.,tests
test_iink.html,html,ignore,.,.
test_iink_server.js,js,ignore,.,.
test_iink_ts.js,js,ignore,.,.
test_kg_mock.py,py,move,.,tests
test_limitless.sh,sh,move,.,scripts
test_limitless_api.py,py,move,.,tests
test_limitless_endpoints.py,py,move,.,tests
test_local_notebook.py,py,move,.,tests
test_metadata_implementation.py,py,move,.,tests
test_mock_extraction.py,py,move,.,tests
test_myscript.py,py,move,.,tests
test_myscript_web_api.py,py,move,.,tests
test_new_key.py,py,move,.,tests
test_notebook_complete/459dae22-0972-4dd5-9ca7-2d3104d36221.content,other,keep-commit,test_notebook_complete,test_notebook_complete
test_notebook_complete/459dae22-0972-4dd5-9ca7-2d3104d36221.metadata,other,keep-commit,test_notebook_complete,test_notebook_complete
test_notebook_complete/459dae22-0972-4dd5-9ca7-2d3104d36221/2d6e20fc-2429-4b2d-8137-7ae38b21e1c0.rm,other,keep-commit,test_notebook_complete/459dae22-0972-4dd5-9ca7-2d3104d36221,test_notebook_complete/459dae22-0972-4dd5-9ca7-2d3104d36221
test_notebook_complete/Test_Penpal_Query_Notebook.rmdoc,rmdoc,move,test_notebook_complete,notebooks
test_notebook_with_proper_tags.py,py,move,.,tests
test_penpal_notebook/457dbceb-bfdc-48e1-a61e-a87f21f5de75.content,other,keep-commit,test_penpal_notebook,test_penpal_notebook
test_penpal_notebook/457dbceb-bfdc-48e1-a61e-a87f21f5de75.metadata,other,keep-commit,test_penpal_notebook,test_penpal_notebook
test_penpal_notebook/457dbceb-bfdc-48e1-a61e-a87f21f5de75/2ddbe808-e328-43b4-a8f1-76880dd11220.rm,other,keep-commit,test_penpal_notebook/457dbceb-bfdc-48e1-a61e-a87f21f5de75,test_penpal_notebook/457dbceb-bfdc-48e1-a61e-a87f21f5de75
test_penpal_notebook/Claude_Query_Notebook.rmdoc,rmdoc,move,test_penpal_notebook,notebooks
test_penpal_simple.py,py,move,.,tests
test_penpal_with_proper_notebook.py,py,move,.,tests
test_rmapi_directly.sh,sh,move,.,scripts
test_rmapi_list.py,py,move,.,tests
test_rmscene_basic.py,py,move,.,tests
test_rmscene_corrected.py,py,move,.,tests
test_rmscene_extraction.py,py,move,.,tests
test_rmscene_extraction_updated.py,py,move,.,tests
test_simplified_metadata.py,py,move,.,tests
test_subject_dirs.py,py,move,.,tests
test_tagged_notebook/Tagged_Test_Notebook.rmdoc,rmdoc,move,test_tagged_notebook,notebooks
test_tagged_notebook/e671682b-f347-48cf-9f9c-84da01a48a6b.content,other,keep-commit,test_tagged_notebook,test_tagged_notebook
test_tagged_notebook/e671682b-f347-48cf-9f9c-84da01a48a6b.metadata,other,keep-commit,test_tagged_notebook,test_tagged_notebook
test_tagged_notebook/e671682b-f347-48cf-9f9c-84da01a48a6b/abba2e7e-d58e-4495-81f5-6b859c6b4c3e.rm,other,keep-commit,test_tagged_notebook/e671682b-f347-48cf-9f9c-84da01a48a6b,test_tagged_notebook/e671682b-f347-48cf-9f9c-84da01a48a6b
test_updated_adapter.py,py,move,.,tests
testing_summary.md,md,keep-commit,.,.
tests/adapters/__init__.py,py,keep-commit,tests/adapters,tests/adapters
tests/adapters/test_claude_vision_adapter.py,py,keep-commit,tests/adapters,tests/adapters
tests/adapters/test_handwriting_web_adapter.py,py,keep-commit,tests/adapters,tests/adapters
tests/adapters/test_limitless_adapter.py,py,keep-commit,tests/adapters,tests/adapters
tests/adapters/test_updated_adapter.py,py,keep-commit,tests/adapters,tests/adapters
tests/api/__init__.py,py,keep-commit,tests/api,tests/api
tests/api/test_limitless_api.py,py,keep-commit,tests/api,tests/api
tests/api/test_limitless_endpoints.py,py,keep-commit,tests/api,tests/api
tests/api/test_myscript.py,py,keep-commit,tests/api,tests/api
tests/api/test_myscript_web_api.py,py,keep-commit,tests/api,tests/api
tests/extraction/__init__.py,py,keep-commit,tests/extraction,tests/extraction
tests/extraction/test_adapter_extraction.py,py,keep-commit,tests/extraction,tests/extraction
tests/extraction/test_mock_extraction.py,py,keep-commit,tests/extraction,tests/extraction
tests/extraction/test_rmscene_basic.py,py,keep-commit,tests/extraction,tests/extraction
tests/extraction/test_rmscene_corrected.py,py,keep-commit,tests/extraction,tests/extraction
tests/extraction/test_rmscene_extraction.py,py,keep-commit,tests/extraction,tests/extraction
tests/extraction/test_rmscene_extraction_updated.py,py,keep-commit,tests/extraction,tests/extraction
tests/integration/__init__.py,py,keep-commit,tests/integration,tests/integration
tests/mocks/__init__.py,py,keep-commit,tests/mocks,tests/mocks
tests/mocks/test_kg_mock.py,py,keep-commit,tests/mocks,tests/mocks
tests/services/test_handwriting_recognition_service.py,py,keep-commit,tests/services,tests/services
tests/test_env.py,py,keep-commit,tests,tests
tests/test_lilly_integration.py,py,keep-commit,tests,tests
tests/test_new_key.py,py,keep-commit,tests,tests
tools/file_audit.txt,txt,keep-commit,tools,tools
tools/generate_file_audit.py,py,keep-commit,tools,tools
update_test_notebook.py,py,keep-commit,.,.
verify_metadata_fix.py,py,keep-commit,.,.
